,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
215,E07000198,Staffordshire Moorlands,West Midlands,E,1604.0,147.0,75.36,35.27,64.73,97881
216,E07000199,Tamworth,West Midlands,E,2090.0,664.0,74.18,32.53,67.47,77141
217,E07000200,Babergh,East,E,3475.0,-156.0,78.26,45.81,54.19,89215
218,E07000201,Forest Heath,East,E,6986.0,-304.0,72.62,35.03,64.97,63691
219,E07000202,Ipswich,East,E,19087.0,5901.0,72.51,41.74,58.26,135600
220,E07000203,Mid Suffolk,East,E,3117.0,152.0,78.16,44.77,55.23,99632
221,E07000204,St Edmundsbury,East,E,5726.0,-621.0,76.72,43.38,56.62,112523
222,E07000205,Suffolk Coastal,East,E,7366.0,853.0,80.68,47.0,53.0,125052
223,E07000206,Waveney,East,E,5633.0,1674.0,72.67,37.1,62.9,116182
224,E07000207,Elmbridge,South East,E,17804.0,-1806.0,78.14,59.53,40.47,132670
225,E07000208,Epsom and Ewell,South East,E,6760.0,2587.0,80.42,52.08,47.92,78950
226,E07000209,Guildford,South East,E,38280.0,13852.0,76.96,56.17,43.83,146080
227,E07000210,Mole Valley,South East,E,6371.0,202.0,82.17,53.08,46.92,86104
228,E07000211,Reigate and Banstead,South East,E,11029.0,2966.0,78.28,49.51,50.49,144100
229,E07000212,Runnymede,South East,E,16293.0,8111.0,76.07,45.74,54.26,85594
230,E07000213,Spelthorne,South East,E,7398.0,3075.0,77.93,39.7,60.3,98469
231,E07000214,Surrey Heath,South East,E,8207.0,897.0,79.81,49.02,50.98,88067
232,E07000215,Tandridge,South East,E,4505.0,94.0,80.36,47.16,52.84,86025
233,E07000216,Waverley,South East,E,11483.0,982.0,82.35,58.39,41.61,123315
234,E07000217,Woking,South East,E,13901.0,860.0,77.49,56.15,43.85,99435
235,E07000218,North Warwickshire,West Midlands,E,1473.0,364.0,76.27,33.12,66.88,62787
236,E07000219,Nuneaton and Bedworth,West Midlands,E,3863.0,347.0,74.35,33.99,66.01,126319
237,E07000220,Rugby,West Midlands,E,8648.0,3913.0,79.03,43.3,56.7,103443
238,E07000221,Stratford-on-Avon,West Midlands,E,9948.0,2991.0,80.82,48.44,51.56,121522
239,E07000222,Warwick,West Midlands,E,15259.0,3586.0,79.22,58.78,41.22,139931
240,E07000223,Adur,South East,E,2528.0,545.0,76.4,45.43,54.57,63429
241,E07000224,Arun,South East,E,13004.0,5979.0,77.86,37.52,62.48,155732
242,E07000225,Chichester,South East,E,9653.0,2167.0,77.91,49.08,50.92,116976
243,E07000226,Crawley,South East,E,18373.0,11190.0,73.24,41.59,58.41,110864
244,E07000227,Horsham,South East,E,8446.0,2181.0,81.65,51.46,48.54,135868
245,E07000228,Mid Sussex,South East,E,8653.0,1897.0,80.79,53.09,46.91,145651
246,E07000229,Worthing,South East,E,7577.0,1473.0,75.46,47.01,52.99,107736
247,E07000234,Bromsgrove,West Midlands,E,2363.0,300.0,79.35,44.63,55.37,95768
248,E07000235,Malvern Hills,West Midlands,E,3561.0,578.0,80.61,47.84,52.16,75731
249,E07000236,Redditch,West Midlands,E,4700.0,1353.0,75.22,37.71,62.29,84743
250,E07000237,Worcester,West Midlands,E,8419.0,169.0,73.85,46.32,53.68,101328
251,E07000238,Wychavon,West Midlands,E,6988.0,2653.0,80.88,42.14,57.86,121520
252,E07000239,Wyre Forest,West Midlands,E,2268.0,-120.0,74.05,36.85,63.15,99503
253,E07000240,St Albans,East,E,11002.0,-1364.0,82.51,62.71,37.29,145797
254,E07000241,Welwyn Hatfield,East,E,23726.0,15795.0,75.04,47.01,52.99,119016
255,E07000242,East Hertfordshire,East,E,9517.0,2878.0,80.4,49.64,50.36,144719
256,E07000243,Stevenage,East,E,4714.0,897.0,73.7,40.75,59.25,86469
257,E08000001,Bolton,North West,E,19806.0,8840.0,70.1,41.71,58.29,281619
258,E08000002,Bury,North West,E,11972.0,3617.0,71.43,45.88,54.12,187884
259,E08000003,Manchester,North West,E,160894.0,59792.0,59.77,60.36,39.64,530292
260,E08000004,Oldham,North West,E,14257.0,7325.0,68.0,39.14,60.86,230823
261,E08000005,Rochdale,North West,E,12365.0,3228.0,65.97,39.93,60.07,214195
262,E08000006,Salford,North West,E,36604.0,18994.0,63.3,43.19,56.81,245614
263,E08000007,Stockport,North West,E,11363.0,1597.0,73.97,52.33,47.67,288733
264,E08000008,Tameside,North West,E,8435.0,1737.0,66.06,38.86,61.14,221692
265,E08000009,Trafford,North West,E,14950.0,2885.0,75.86,57.69,42.31,233288
266,E08000010,Wigan,North West,E,11331.0,3821.0,69.23,36.1,63.9,322022
267,E08000011,Knowsley,North West,E,2385.0,-541.0,63.54,48.44,51.56,147231
268,E08000012,Liverpool,North West,E,79466.0,26128.0,64.08,58.19,41.81,478580
269,E08000013,St. Helens,North West,E,4473.0,284.0,68.86,41.98,58.02,177612
270,E08000014,Sefton,North West,E,9297.0,620.0,71.73,51.87,48.13,273707
271,E08000015,Wirral,North West,E,9247.0,-3210.0,70.96,51.7,48.3,320900
272,E08000016,Barnsley,Yorkshire and The Humber,E,8732.0,3878.0,69.95,31.69,68.31,239319
273,E08000017,Doncaster,Yorkshire and The Humber,E,16382.0,7528.0,69.56,31.04,68.96,304813
274,E08000018,Rotherham,Yorkshire and The Humber,E,10820.0,5194.0,69.56,32.11,67.89,260786
275,E08000019,Sheffield,Yorkshire and The Humber,E,86636.0,46500.0,67.34,49.01,50.99,569737
276,E08000021,Newcastle upon Tyne,North East,E,70467.0,33033.0,67.67,50.7,49.3,292883
277,E08000022,North Tyneside,North East,E,7412.0,-24.0,72.3,46.6,53.4,202494
278,E08000023,South Tyneside,North East,E,6550.0,3637.0,68.27,37.95,62.05,148671
279,E08000024,Sunderland,North East,E,20455.0,11396.0,64.86,38.66,61.34,277150
280,E08000025,Birmingham,West Midlands,E,180449.0,82969.0,63.81,49.58,50.42,1111307
281,E08000026,Coventry,West Midlands,E,87153.0,50797.0,69.21,44.4,55.6,345385
282,E08000027,Dudley,West Midlands,E,9357.0,4030.0,71.71,32.4,67.6,316464
283,E08000028,Sandwell,West Midlands,E,26669.0,17413.0,66.58,33.28,66.72,319455
284,E08000029,Solihull,West Midlands,E,7321.0,1399.0,76.06,43.84,56.16,210445
285,E08000030,Walsall,West Midlands,E,12081.0,6912.0,69.68,32.14,67.86,276095
286,E08000031,Wolverhampton,West Midlands,E,30690.0,16305.0,67.54,37.43,62.57,254406
287,E08000032,Bradford,Yorkshire and The Humber,E,64229.0,36477.0,66.72,45.77,54.23,531176
288,E08000033,Calderdale,Yorkshire and The Humber,E,11658.0,3887.0,71.05,44.32,55.68,208402
289,E08000034,Kirklees,Yorkshire and The Humber,E,30568.0,13837.0,70.8,45.33,54.67,434321
290,E08000035,Leeds,Yorkshire and The Humber,E,124507.0,57829.0,71.39,50.31,49.69,774060
291,E08000036,Wakefield,Yorkshire and The Humber,E,17465.0,11117.0,71.17,33.64,66.36,333759
